State,Value
KS,High
OH,Low-Medium
NJ,High
OK,High
AL,Low
MA,Medium-High
MO,Low-Medium
LA,Low
WV,Low-Medium
IN,Medium-High
RI,Low
IA,Low-Medium
MT,High
NY,High
ID,Low-Medium
VT,Low
VA,Low
TX,High
FL,Low-Medium
CO,Low-Medium
AZ,Low
SC,High
NE,Low
WY,Low
HI,Low
IL,Low
NH,Low-Medium
GA,Low-Medium
AK,Low
MD,High
AR,Medium-High
WI,Low
OR,Medium-High
MI,Medium-High
DE,Medium-High
UT,Medium-High
CA,High
MN,Medium-High
SD,Medium-High
NC,Low-Medium
WA,High
NM,Low-Medium
NV,High
DC,Low
KY,Medium-High
ME,High
MS,Medium-High
TN,Medium-High
PA,Low
CT,Medium-High
ND,Low-Medium
